model,gender,training_dataset,accuracy,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,auc-roc
EfficientNetB4,men,DFDC,0.6,0.62,0.59,0.53,0.67,0.57,0.63,0.68
EfficientNetB4,women,DFDC,0.62,0.6,0.66,0.74,0.5,0.66,0.57,0.66
EfficientNetB4,men,FFPP,0.7,0.64,0.85,0.92,0.47,0.75,0.61,0.86
EfficientNetB4,women,FFPP,0.67,0.61,0.85,0.93,0.41,0.74,0.56,0.83
EfficientNetAutoAttnB4,men,DFDC,0.68,0.67,0.68,0.68,0.67,0.68,0.67,0.75
EfficientNetAutoAttnB4,women,DFDC,0.65,0.63,0.68,0.74,0.56,0.68,0.62,0.71
EfficientNetB4ST,men,FFPP,0.71,0.65,0.84,0.91,0.5,0.76,0.63,0.84
EfficientNetB4ST,women,FFPP,0.67,0.61,0.83,0.92,0.42,0.73,0.55,0.79
Xception,men,DFDC,0.64,0.6,0.76,0.87,0.41,0.71,0.53,0.73
Xception,women,DFDC,0.59,0.56,0.74,0.9,0.29,0.69,0.42,0.69
EfficientNetAutoAttnB4ST,men,FFPP,0.63,0.58,0.86,0.95,0.31,0.72,0.46,0.85
EfficientNetAutoAttnB4ST,women,FFPP,0.64,0.59,0.88,0.96,0.33,0.73,0.48,0.84
EfficientNetAutoAttnB4ST,men,DFDC,0.64,0.65,0.62,0.58,0.69,0.61,0.66,0.71
EfficientNetAutoAttnB4ST,women,DFDC,0.63,0.59,0.73,0.85,0.42,0.7,0.53,0.66
EfficientNetAutoAttnB4,men,FFPP,0.65,0.59,0.88,0.96,0.34,0.73,0.49,0.85
EfficientNetAutoAttnB4,women,FFPP,0.67,0.62,0.84,0.92,0.43,0.74,0.57,0.82
EfficientNetB4ST,men,DFDC,0.65,0.65,0.65,0.65,0.64,0.65,0.65,0.71
EfficientNetB4ST,women,DFDC,0.61,0.57,0.7,0.83,0.38,0.68,0.49,0.68
Xception,men,FFPP,0.65,0.6,0.85,0.94,0.37,0.73,0.52,0.8
Xception,women,FFPP,0.66,0.61,0.83,0.92,0.41,0.73,0.55,0.78
CrossEffViT,men,DFDC_FFPP,0.7,0.65,0.82,0.88,0.51,0.75,0.63,0.84
CrossEffViT,women,DFDC_FFPP,0.76,0.69,0.88,0.92,0.59,0.79,0.71,0.9
